slug,game,entity,value,relationship,status
abc-rummy,ABC Rummy,Category,Rummy,isPartOf,known
abc-rummy,ABC Rummy,Platform,Android,operatingSystem,known
abc-rummy,ABC Rummy,Distribution,APK / app listing,distribution,known
abc-rummy,ABC Rummy,Parent brand,Yono app family,brandFamily,known
abc-rummy,ABC Rummy,Market,India,audience,known
abc-rummy,ABC Rummy,Genre,,genre,NEEDS SOURCE
abc-rummy,ABC Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
abc-rummy,ABC Rummy,Game modes,,hasPart,NEEDS SOURCE
abc-rummy,ABC Rummy,Developer,,author,NEEDS SOURCE
abc-rummy,ABC Rummy,Publisher,,publisher,NEEDS SOURCE
abc-rummy,ABC Rummy,Version,,softwareVersion,NEEDS SOURCE
abc-rummy,ABC Rummy,File size,,fileSize,NEEDS SOURCE
abc-rummy,ABC Rummy,Device requirements,,requirements,NEEDS SOURCE
abc-rummy,ABC Rummy,Update history,,dateModified,NEEDS SOURCE
boss-rummy,Boss Rummy,Category,Rummy,isPartOf,known
boss-rummy,Boss Rummy,Platform,Android,operatingSystem,known
boss-rummy,Boss Rummy,Distribution,APK / app listing,distribution,known
boss-rummy,Boss Rummy,Parent brand,Yono app family,brandFamily,known
boss-rummy,Boss Rummy,Market,India,audience,known
boss-rummy,Boss Rummy,Genre,,genre,NEEDS SOURCE
boss-rummy,Boss Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
boss-rummy,Boss Rummy,Game modes,,hasPart,NEEDS SOURCE
boss-rummy,Boss Rummy,Developer,,author,NEEDS SOURCE
boss-rummy,Boss Rummy,Publisher,,publisher,NEEDS SOURCE
boss-rummy,Boss Rummy,Version,,softwareVersion,NEEDS SOURCE
boss-rummy,Boss Rummy,File size,,fileSize,NEEDS SOURCE
boss-rummy,Boss Rummy,Device requirements,,requirements,NEEDS SOURCE
boss-rummy,Boss Rummy,Update history,,dateModified,NEEDS SOURCE
game-rummy,Game Rummy,Category,Rummy,isPartOf,known
game-rummy,Game Rummy,Platform,Android,operatingSystem,known
game-rummy,Game Rummy,Distribution,APK / app listing,distribution,known
game-rummy,Game Rummy,Parent brand,Yono app family,brandFamily,known
game-rummy,Game Rummy,Market,India,audience,known
game-rummy,Game Rummy,Genre,,genre,NEEDS SOURCE
game-rummy,Game Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
game-rummy,Game Rummy,Game modes,,hasPart,NEEDS SOURCE
game-rummy,Game Rummy,Developer,,author,NEEDS SOURCE
game-rummy,Game Rummy,Publisher,,publisher,NEEDS SOURCE
game-rummy,Game Rummy,Version,,softwareVersion,NEEDS SOURCE
game-rummy,Game Rummy,File size,,fileSize,NEEDS SOURCE
game-rummy,Game Rummy,Device requirements,,requirements,NEEDS SOURCE
game-rummy,Game Rummy,Update history,,dateModified,NEEDS SOURCE
gogo-rummy,GoGo Rummy,Category,Rummy,isPartOf,known
gogo-rummy,GoGo Rummy,Platform,Android,operatingSystem,known
gogo-rummy,GoGo Rummy,Distribution,APK / app listing,distribution,known
gogo-rummy,GoGo Rummy,Parent brand,Yono app family,brandFamily,known
gogo-rummy,GoGo Rummy,Market,India,audience,known
gogo-rummy,GoGo Rummy,Genre,,genre,NEEDS SOURCE
gogo-rummy,GoGo Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
gogo-rummy,GoGo Rummy,Game modes,,hasPart,NEEDS SOURCE
gogo-rummy,GoGo Rummy,Developer,,author,NEEDS SOURCE
gogo-rummy,GoGo Rummy,Publisher,,publisher,NEEDS SOURCE
gogo-rummy,GoGo Rummy,Version,,softwareVersion,NEEDS SOURCE
gogo-rummy,GoGo Rummy,File size,,fileSize,NEEDS SOURCE
gogo-rummy,GoGo Rummy,Device requirements,,requirements,NEEDS SOURCE
gogo-rummy,GoGo Rummy,Update history,,dateModified,NEEDS SOURCE
gold-rummy,Gold Rummy,Category,Rummy,isPartOf,known
gold-rummy,Gold Rummy,Platform,Android,operatingSystem,known
gold-rummy,Gold Rummy,Distribution,APK / app listing,distribution,known
gold-rummy,Gold Rummy,Parent brand,Yono app family,brandFamily,known
gold-rummy,Gold Rummy,Market,India,audience,known
gold-rummy,Gold Rummy,Genre,,genre,NEEDS SOURCE
gold-rummy,Gold Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
gold-rummy,Gold Rummy,Game modes,,hasPart,NEEDS SOURCE
gold-rummy,Gold Rummy,Developer,,author,NEEDS SOURCE
gold-rummy,Gold Rummy,Publisher,,publisher,NEEDS SOURCE
gold-rummy,Gold Rummy,Version,,softwareVersion,NEEDS SOURCE
gold-rummy,Gold Rummy,File size,,fileSize,NEEDS SOURCE
gold-rummy,Gold Rummy,Device requirements,,requirements,NEEDS SOURCE
gold-rummy,Gold Rummy,Update history,,dateModified,NEEDS SOURCE
hi-rummy,Hi Rummy,Category,Rummy,isPartOf,known
hi-rummy,Hi Rummy,Platform,Android,operatingSystem,known
hi-rummy,Hi Rummy,Distribution,APK / app listing,distribution,known
hi-rummy,Hi Rummy,Parent brand,Yono app family,brandFamily,known
hi-rummy,Hi Rummy,Market,India,audience,known
hi-rummy,Hi Rummy,Genre,,genre,NEEDS SOURCE
hi-rummy,Hi Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
hi-rummy,Hi Rummy,Game modes,,hasPart,NEEDS SOURCE
hi-rummy,Hi Rummy,Developer,,author,NEEDS SOURCE
hi-rummy,Hi Rummy,Publisher,,publisher,NEEDS SOURCE
hi-rummy,Hi Rummy,Version,,softwareVersion,NEEDS SOURCE
hi-rummy,Hi Rummy,File size,,fileSize,NEEDS SOURCE
hi-rummy,Hi Rummy,Device requirements,,requirements,NEEDS SOURCE
hi-rummy,Hi Rummy,Update history,,dateModified,NEEDS SOURCE
ind-rummy,Ind Rummy,Category,Rummy,isPartOf,known
ind-rummy,Ind Rummy,Platform,Android,operatingSystem,known
ind-rummy,Ind Rummy,Distribution,APK / app listing,distribution,known
ind-rummy,Ind Rummy,Parent brand,Yono app family,brandFamily,known
ind-rummy,Ind Rummy,Market,India,audience,known
ind-rummy,Ind Rummy,Genre,,genre,NEEDS SOURCE
ind-rummy,Ind Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
ind-rummy,Ind Rummy,Game modes,,hasPart,NEEDS SOURCE
ind-rummy,Ind Rummy,Developer,,author,NEEDS SOURCE
ind-rummy,Ind Rummy,Publisher,,publisher,NEEDS SOURCE
ind-rummy,Ind Rummy,Version,,softwareVersion,NEEDS SOURCE
ind-rummy,Ind Rummy,File size,,fileSize,NEEDS SOURCE
ind-rummy,Ind Rummy,Device requirements,,requirements,NEEDS SOURCE
ind-rummy,Ind Rummy,Update history,,dateModified,NEEDS SOURCE
inr-rummy,INR Rummy,Category,Rummy,isPartOf,known
inr-rummy,INR Rummy,Platform,Android,operatingSystem,known
inr-rummy,INR Rummy,Distribution,APK / app listing,distribution,known
inr-rummy,INR Rummy,Parent brand,Yono app family,brandFamily,known
inr-rummy,INR Rummy,Market,India,audience,known
inr-rummy,INR Rummy,Genre,,genre,NEEDS SOURCE
inr-rummy,INR Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
inr-rummy,INR Rummy,Game modes,,hasPart,NEEDS SOURCE
inr-rummy,INR Rummy,Developer,,author,NEEDS SOURCE
inr-rummy,INR Rummy,Publisher,,publisher,NEEDS SOURCE
inr-rummy,INR Rummy,Version,,softwareVersion,NEEDS SOURCE
inr-rummy,INR Rummy,File size,,fileSize,NEEDS SOURCE
inr-rummy,INR Rummy,Device requirements,,requirements,NEEDS SOURCE
inr-rummy,INR Rummy,Update history,,dateModified,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,Category,Rummy,isPartOf,known
jaiho-rummy,JaiHo Rummy,Platform,Android,operatingSystem,known
jaiho-rummy,JaiHo Rummy,Distribution,APK / app listing,distribution,known
jaiho-rummy,JaiHo Rummy,Parent brand,Yono app family,brandFamily,known
jaiho-rummy,JaiHo Rummy,Market,India,audience,known
