source,destination,anchor,relationship
/,/games/rummy.html,Rummy,home -> category hub
/,/games/slots-and-777.html,Slots & 777,home -> category hub
/,/games/teen-patti-and-vip-club.html,Teen Patti & VIP Club,home -> category hub
/,/games/arcade-and-casual.html,Arcade & Casual,home -> category hub
/,/games/multi-game-platforms.html,Multi-Game Platforms,home -> category hub
/,/games/bingo.html,Bingo,home -> category hub
/,/games/ludo-and-board.html,Ludo & Board,home -> category hub
/,/games/,Browse all games,home -> directory
/games/,/games/abc-rummy.html,ABC Rummy,directory -> game
/games/rummy.html,/games/abc-rummy.html,ABC Rummy,category -> game (same topic)
/games/abc-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/abc-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/abc-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/abc-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/abc-rummy.html,/games/gold-rummy.html,Gold Rummy,game -> sibling (same category)
/games/,/games/boss-rummy.html,Boss Rummy,directory -> game
/games/rummy.html,/games/boss-rummy.html,Boss Rummy,category -> game (same topic)
/games/boss-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/boss-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/boss-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/boss-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/boss-rummy.html,/games/gold-rummy.html,Gold Rummy,game -> sibling (same category)
/games/,/games/game-rummy.html,Game Rummy,directory -> game
/games/rummy.html,/games/game-rummy.html,Game Rummy,category -> game (same topic)
/games/game-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/game-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/game-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/game-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/game-rummy.html,/games/gold-rummy.html,Gold Rummy,game -> sibling (same category)
/games/,/games/gogo-rummy.html,GoGo Rummy,directory -> game
/games/rummy.html,/games/gogo-rummy.html,GoGo Rummy,category -> game (same topic)
/games/gogo-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/gogo-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/gogo-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/gogo-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/gogo-rummy.html,/games/gold-rummy.html,Gold Rummy,game -> sibling (same category)
/games/,/games/gold-rummy.html,Gold Rummy,directory -> game
/games/rummy.html,/games/gold-rummy.html,Gold Rummy,category -> game (same topic)
/games/gold-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/gold-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/gold-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/gold-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/gold-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/hi-rummy.html,Hi Rummy,directory -> game
/games/rummy.html,/games/hi-rummy.html,Hi Rummy,category -> game (same topic)
/games/hi-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/hi-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/hi-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/hi-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/hi-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/ind-rummy.html,Ind Rummy,directory -> game
/games/rummy.html,/games/ind-rummy.html,Ind Rummy,category -> game (same topic)
/games/ind-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/ind-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/ind-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/ind-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/ind-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/inr-rummy.html,INR Rummy,directory -> game
/games/rummy.html,/games/inr-rummy.html,INR Rummy,category -> game (same topic)
/games/inr-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/inr-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/inr-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/inr-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/inr-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/jaiho-rummy.html,JaiHo Rummy,directory -> game
/games/rummy.html,/games/jaiho-rummy.html,JaiHo Rummy,category -> game (same topic)
/games/jaiho-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/jaiho-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
