slug,url,game,category,primary,tier,keyword,intent,placement,validated
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,primary,abc rummy,navigational,H1 + title + intro,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,secondary,abc rummy app,navigational,H2 / spec table / body,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,secondary,abc rummy game,navigational,H2 / spec table / body,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,secondary,abc rummy download,transactional,H2 / spec table / body,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,secondary,abc rummy apk,transactional,H2 / spec table / body,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,secondary,abc rummy online,navigational,H2 / spec table / body,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,secondary,abc rummy android,navigational,H2 / spec table / body,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,secondary,abc rummy latest version,navigational,H2 / spec table / body,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,secondary,abc rummy login,transactional,H2 / spec table / body,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,long-tail,what is abc rummy,informational,FAQ question or subsection,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,long-tail,how to play abc rummy,informational,FAQ question or subsection,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,long-tail,abc rummy how to download,informational,FAQ question or subsection,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,long-tail,is abc rummy safe,informational,FAQ question or subsection,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,long-tail,abc rummy app details,informational,FAQ question or subsection,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,long-tail,abc rummy supported devices,informational,FAQ question or subsection,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,long-tail,abc rummy beginner guide,informational,FAQ question or subsection,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,long-tail,abc rummy game guide,informational,FAQ question or subsection,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,modifier,abc rummy rummy,commercial,body / category hub,NO
abc-rummy,/games/abc-rummy.html,ABC Rummy,Rummy,abc rummy,modifier,best rummy yono app,commercial,body / category hub,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,primary,boss rummy,navigational,H1 + title + intro,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,secondary,boss rummy app,navigational,H2 / spec table / body,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,secondary,boss rummy game,navigational,H2 / spec table / body,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,secondary,boss rummy download,transactional,H2 / spec table / body,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,secondary,boss rummy apk,transactional,H2 / spec table / body,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,secondary,boss rummy online,navigational,H2 / spec table / body,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,secondary,boss rummy android,navigational,H2 / spec table / body,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,secondary,boss rummy latest version,navigational,H2 / spec table / body,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,secondary,boss rummy login,transactional,H2 / spec table / body,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,long-tail,what is boss rummy,informational,FAQ question or subsection,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,long-tail,how to play boss rummy,informational,FAQ question or subsection,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,long-tail,boss rummy how to download,informational,FAQ question or subsection,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,long-tail,is boss rummy safe,informational,FAQ question or subsection,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,long-tail,boss rummy app details,informational,FAQ question or subsection,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,long-tail,boss rummy supported devices,informational,FAQ question or subsection,NO
